osm:machinetag,mz:machinetag
osm:amenity=car_wash,mobility:mobility=car_wash
osm:shop=bakery,shop_and_service:shop=bakery
osm:tourism=bed_and_breakfast,shop_and_service:sleep=bed_and_breakfast
osm:tourism=chalet,shop_and_service:sleep=chalets
osm:tourism=guest_house,shop_and_service:sleep=guest_house
osm:tourism=hostel,shop_and_service:sleep=hostel
osm:shop=tattoo,shop_and_service:service=tattoo_parlor
osm:leisure=fitness_centre,do_and_see:fun=fitness_center
osm:amenity=arts_centre,do_and_see:fun=arts_center
osm:shop=toys,shop_and_service:shop=toy_and_game_store
osm:man_made=telescope,do_and_see:attraction=telescope
osm:historic=memorial,do_and_see:attraction=memorial
osm:amenity=animal_shelter,do_and_see:attraction=animal_shelter
osm:man_made=windmill,do_and_see:attraction=windmill
osm:tourism=artwork,do_and_see:fun=artwork
osm:attraction=water_slide,do_and_see:fun=water_slide
osm:attraction=amusement_ride,do_and_see:fun=theme_park_attraction
osm:leisure=amusement_arcade,do_and_see:fun=arcade
osm:power=generator,shop_and_service:service=electric
osm:leisure=dog_park,do_and_see:attraction=dog_park
osm:amenity=picnic_site,do_and_see:attraction=picnic_area
osm:shop=cheese,shop_and_service:shop=cheese
osm:shop=chocolate,shop_and_service:shop=chocolate
osm:shop=butcher,shop_and_service:shop=butcher
osm:shop=fish,shop_and_service:shop=fish_market
osm:man_made=communications_tower,other:civic=communications_tower
osm:natural=dune,other:nature=dune
osm:natural=geyser,other:nature=geyser
osm:shop=motorcycle,shop_and_service:service=motorcycle_sales
osm:leisure=adult_gaming_centre,do_and_see:fun=adult_gaming_center
osm:amenity=gambling,do_and_see:fun=gambling
osm:leisure=dance,do_and_see:fun=dance
osm:amenity=dojo,do_and_see:fun=dojo
osm:amenity=gym,do_and_see:fun=gym
osm:amenity=dive_centre,do_and_see:fun=dive_center
osm:shop=ski,shop_and_service:shop=ski_rental
osm:amenity=ski_school,do_and_see:fun=ski_school
osm:barrier=toll_booth,other:transport=toll_booth
osm:tourism=winery,other:industry=vineyard
osm:amenity=toilets,do_and_see:attraction=restrooms
osm:amenity=drinking_water,other:civic=drinking_water
osm:healthcare=midwife,health:health=midwife
osm:highway=trailhead,do_and_see:fun=trailhead
osm:man_made=water_tower,other:nature=water_tower
osm:shop=alcohol,shop_and_service:shop=liquor_store
osm:shop=wine,shop_and_service:shop=wine_shop
osm:historic=archaeological_site,do_and_see:attraction=archaeological_site
osm:amenity=kindergarten,education_and_religion:education=kindergarten
osm:amenity=childcare,shop_and_service:service=child_care
osm:amenity=parking,mobility:mobility=parking
osm:shop=dry_cleaning,shop_and_service:service=dry_cleaning
osm:shop=electronics,shop_and_service:shop=home_electronics
osm:amenity=bicycle_rental,do_and_see:fun=bicycle_rental
osm:amenity=boat_rental,do_and_see:fun=boat_charter
osm:shop=boat,do_and_see:fun=boat_rental
osm:leisure=fishing,do_and_see:fun=fishing_area
osm:tourism=information,do_and_see:attraction=tourist_information
osm:amenity=auditorium,do_and_see:attraction=auditorium
osm:shop=laundry,shop_and_service:service=laundry
osm:amenity=nursing_home,health:health=nursing_and_care_facility
osm:amenity=recycling,shop_and_service:service=recycling
osm:amenity=shelter,other:civic=emergency_shelter
osm:craft=carpenter,shop_and_service:service=carpenter
osm:shop=trade,shop_and_service:service=tradesmen
osm:office=administrative,other:civic=administrative_office
osm:amenity=coworking_space,other:civic=co_working_space
osm:building=public,other:civic=government_office
osm:building=office,other:civic=office_building
osm:office=advertising_agency,shop_and_service:service=advertising
osm:office=architect,shop_and_service:service=architect
osm:office=association,shop_and_service:service=professional_association
osm:amenity=boat_storage,shop_and_service:service=boat_storage
osm:amenity=charging_station,mobility:mobility=ev_charging_station
osm:office=financial,shop_and_service:money=financial_services
osm:leisure=fitness_station,do_and_see:fun=fitness_station
osm:office=foundation,shop_and_service:service=foundation
osm:craft=gardener,shop_and_service:service=landscaping_services
osm:craft=handicraft,shop_and_service:service=handicraft
osm:amenity=car_sharing,mobility:mobility=car_share
osm:leisure=pitch,do_and_see:fun=ice_rink
osm:leisure=pitch,do_and_see:fun=gaelic_games
osm:leisure=pitch,do_and_see:fun=karting
osm:piste:type=snow_park,other:transport=snow_park
osm:leisure=pitch,do_and_see:fun=dog_racing
osm:leisure=pitch,do_and_see:fun=hockey_field
osm:leisure=pitch,do_and_see:fun=race_car
osm:leisure=pitch,do_and_see:fun=safety_training
osm:office=accountant,shop_and_service:service=accounting
osm:landuse=farm,other:industry=farm
osm:craft=hvac,shop_and_service:service=hvac
osm:office=insurance,shop_and_service:service=insurance_agent
osm:office=it,shop_and_service:service=computer_services
osm:amenity=ski_rental,shop_and_service:shop=ski_shop
osm:office=consulting,shop_and_service:service=management_and_consulting
osm:office=lawyer,shop_and_service:service=lawyer_and_legal_services
osm:emergency=lifeguard_tower,other:civic=lifeguard_tower
osm:craft=metal_construction,other:industry=metals
osm:shop=mobile_phone,shop_and_service:shop=mobile_phones
osm:shop=camera,shop_and_service:shop=camera
osm:shop=music,shop_and_service:shop=music
osm:shop=newsstand,shop_and_service:shop=news
osm:shop=antiques,shop_and_service:shop=antiques
osm:office=newspaper,shop_and_service:service=newspaper
osm:shop=gift,shop_and_service:shop=gifts_and_souvenirs
osm:office=educational_institution,education_and_religion:education=other_education
osm:craft=painter,shop_and_service:service=painter
osm:office=estate_agent,shop_and_service:service=real_estate_agent
osm:craft=plumber,shop_and_service:service=plumbing
osm:office=political_party,shop_and_service:service=political_organization
osm:craft=pottery,other:industry=pottery
osm:aeroway=terminal,mobility:mobility=domestic_terminal
osm:shop=thrift,shop_and_service:shop=thrift_store
osm:building=retail,other:civic=mixed_use_building
osm:shop=medical_supply,other:industry=medical_equipment_and_supplies
osm:amenity=storage,shop_and_service:service=storage
osm:amenity=taxi,mobility:mobility=taxi_company
osm:tourism=apartment,shop_and_service:sleep=vacation_rental
osm:building=chapel,education_and_religion:religion=chapel
osm:building=shrine,education_and_religion:religion=shrine
osm:office=religion,education_and_religion:religion=other_religious_place
osm:office=research,shop_and_service:service=research
osm:office=ngo,shop_and_service:service=non_profit_organization
osm:office=notary,shop_and_service:service=notary
osm:shop=scuba_diving,shop_and_service:shop=scuba_diving
osm:craft=shoemaker,shop_and_service:service=shoe_repair_and_shine
osm:leisure=slipway,do_and_see:fun=boat_ramp
osm:leisure=common,do_and_see:attraction=town_common
osm:amenity=social_facility,shop_and_service:service=adult_care
osm:craft=stonemason,shop_and_service:service=stonemason
osm:craft=tailor,shop_and_service:shop=tailor_shop
osm:shop=bridal,shop_and_service:shop=bridal
osm:leisure=bandstand,do_and_see:fun=bandstand
osm:office=tax_advisor,shop_and_service:service=accounting_and_tax_preparation
osm:amenity=telephone,shop_and_service:service=telephone
osm:office=therapist,health:health=therapist
osm:office=travel_agent,shop_and_service:service=travel_agent
osm:amenity=veterinary,shop_and_service:service=veterinary_services
osm:craft=dressmaker,shop_and_service:service=dressmaker
osm:craft=photographer,shop_and_service:service=portrait_studio
osm:craft=photographic_laboratory,shop_and_service:service=photofinishing
osm:office=yes,shop_and_service:service=other_professional
osm:highway=cycleway,do_and_see:fun=cycleway
osm:leisure=hackerspace,shop_and_service:service=hacker_space
osm:aeroway=helipad,mobility:mobility=heliport
osm:man_made=adit,other:civic=adit
osm:natural=cave_entrance,other:nature=cave
osm:highway=ford,other:nature=ford
osm:man_made=power_wind,other:civic=wind_turbine
osm:natural=saddle,other:nature=saddle
osm:natural=hot_spring,other:nature=hot_spring
osm:whitewater=put_in;egress,do_and_see:fun=whitewater_putin_egress
osm:whitewater=put_in,do_and_see:fun=whitewater_putin
osm:whitewater=egress,do_and_see:fun=whitewater_egress
osm:whitewater=hazard,other:nature=whitewater_hazard
osm:whitewater=rapid,other:nature=rapid
osm:natural=sinkhole,other:nature=sinkhole
osm:natural=spring,other:nature=spring
osm:man_made=petroleum_well,other:civic=petroleum_well
osm:shop=gas,shop_and_service:service=natural_gas
osm:railway=subway_entrance,mobility:mobility=station_entrance
osm:*is_building_part=building,other:civic=building
osm:amenity=bicycle_rental,mobility:mobility=bike_share_station
osm:aeroway=gate,mobility:mobility=airport_gate
osm:amenity=emergency_phone,other:civic=emergency_phone
osm:amenity=shower,do_and_see:attraction=shower
osm:leisure=pitch,fun:play_field=rugby_league
osm:leisure=pitch,fun:play_field=rugby_union
osm:leisure=pitch,fun:play_field=volleyball
osm:leisure=pitch,fun:play_field=australian_football
osm:leisure=pitch,fun:play_field=badminton
osm:leisure=pitch,fun:play_field=baseball
osm:leisure=pitch,fun:play_field=basketball
osm:leisure=pitch,fun:play_field=canadian_football
osm:leisure=pitch,fun:play_field=chess
osm:leisure=pitch,fun:play_field=cricket
osm:leisure=pitch,fun:play_field=field_hockey
osm:amenity=bicycle_parking,mobility:mobility=bicycle_parking
osm:public_transport=platform,mobility:light_rail_platform=light_rail
osm:public_transport=platform,mobility:mobility=platform
osm:site=stop_area,mobility:mobility=stop_area
osm:railway=halt,mobility:rail_halt=train
osm:highway=platform,mobility:bus_stop=bus
osm:natural=scree,other:nature=scree
osm:landuse=urban,other:addressing=urban_area
osm:landuse=rural,other:addressing=rural_area
osm:landuse=commercial,other:addressing=other_built_up_area
osm:landuse=retail,other:addressing=retail_area
osm:landuse=residential,other:addressing=residential_area
osm:landuse=industrial,other:addressing=industrial_zone
osm:landuse=farmyard,other:industry=farmyard
osm:man_made=cross,other:civic=cross
osm:waterway=lock,other:civic=lock
osm:highway=traffic_signals,other:transport=traffic_signal
osm:barrier=gate,other:civic=gate
osm:barrier=bollard,other:transport=bollard
osm:man_made=beacon,other:civic=beacon
osm:man_made=mineshaft,other:civic=mineshaft
osm:man_made=water_well,other:nature=well
osm:amenity=water_point,other:nature=water_point
osm:railway=level_crossing,other:transport=level_crossing
osm:highway=mini_roundabout,other:transport=mini_roundabout
osm:icn_ref=TRUE,do_and_see:fun=biking_junction_international
osm:lcn_ref=TRUE,do_and_see:fun=biking_junction_local
osm:ncn_ref=TRUE,do_and_see:fun=biking_junction_national
osm:rcn_ref=TRUE,do_and_see:fun=biking_junction_regional
osm:iwn_ref=TRUE,do_and_see:fun=walking_junction_international
osm:lwn_ref=TRUE,do_and_see:fun=walking_junction_local
osm:nwn_ref=TRUE,do_and_see:fun=walking_junction_national
osm:rwn_ref=TRUE,do_and_see:fun=walking_junction_regional
osm:amenity=bicycle_repair_station,other:civic=bicycle_repair_station
osm:barrier=lift_gate,other:civic=lift_gate
osm:amenity=post_box,other:civic=post_box
osm:leisure=firepit,other:civic=firepit
osm:amenity=life_ring,other:civic=life_ring
osm:man_made=snow_cannon,other:civic=snow_cannon
osm:amenity=waste_disposal,shop_and_service:service=refuse
osm:amenity=bbq,do_and_see:attraction=barbecue
osm:amenity=bench,other:civic=bench
osm:barrier=cycle_barrier,other:transport=cycle_barrier
osm:emergency=phone,other:civic=public_phone
osm:amenity=picnic_table,do_and_see:attraction=picnic_table
osm:amenity=waste_basket,other:civic=waste_bin
osm:amenity=watering_place,other:nature=watering_place
osm:man_made=snow_fence,other:civic=snow_fence
osm:barrier=retaining_wall,other:civic=retaining_wall
osm:barrier=fence,other:civic=fence
osm:power=pole,other:civic=power_tower
osm:man_made=tower,other:civic=tower
osm:man_made=mast,other:civic=mast
osm:power=tower,other:civic=power_pylon
osm:aerialway=pylon,other:civic=aerial_cable_pylon
osm:landuse=wood,do_and_see:attraction=woods
osm:natural=tree,other:nature=tree
osm:natural=glacier,other:nature=glacier
osm:man_made=bridge,other:civic=bridge
osm:barrier=hedge,other:nature=hedge
osm:natural=tree_row,other:nature=tree_row
osm:addr:housenumber=TRUE,other:addressing=point_address
osm:waterway=dock,other:transport=dock
osm:*=earth,other:nature=earth
osm:highway=residential,other:transport=residential
osm:highway=unclassified,other:transport=unclassified
osm:highway=service,transport:service=alley
osm:highway=service,transport:service=driveway
osm:highway=service,transport:service=parking_aisle
osm:highway=service,transport:service=drive_through
osm:highway=service,transport:service=service_road
osm:highway=raceway,other:transport=raceway
osm:leisure=track,other:transport=track
osm:railway=light_rail,other:transport=light_rail
osm:railway=tram,other:transport=tram
osm:aerialway=gondola,other:transport=gondola
osm:aerialway=cable_car,other:transport=cable_car
osm:aerialway=chair_lift,other:transport=chair_lift
osm:whitewater=portage_way,other:transport=portage_way
osm:highway=living_street,other:transport=living_street
osm:highway=pedestrian,other:transport=pedestrian
osm:highway=path,other:transport=path
osm:highway=footway,other:transport=footway
osm:highway=steps,other:transport=steps
osm:highway=corridor,other:transport=corridor
osm:man_made=pier,other:transport=pier
osm:piste:type=nordic,other:transport=nordic
osm:piste:type=downhill,other:transport=downhill
osm:piste:type=sleigh,other:transport=sleigh
osm:piste:type=skitour,other:transport=skitour
osm:piste:type=hike,other:transport=hike
osm:piste:type=sled,other:transport=sled
osm:piste:type=yes,other:transport=other_ski
osm:piste:type=playground,other:transport=playground
osm:piste:type=ski_jump,other:transport=ski_jump
osm:aeroway=apron,other:transport=apron
osm:aeroway=runway,other:transport=runway
osm:aeroway=taxiway,other:transport=taxiway
osm:aerialway=drag_lift,other:transport=drag_lift
osm:aerialway=platter,other:transport=platter
osm:aerialway=t-bar,other:transport=t_bar
osm:aerialway=goods,other:transport=goods
osm:aerialway=magic_carpet,other:transport=magic_carpet
osm:aerialway=rope_tow,other:transport=rope_tow
osm:aerialway=yes,other:transport=yes
osm:aerialway=zip_line,other:transport=zip_line
osm:aerialway=j-bar,other:transport=j_bar
osm:aerialway=unknown,other:transport=unknown
osm:aerialway=mixed_lift,other:transport=mixed_lift
osm:aerialway=canopy,other:transport=canopy
osm:aerialway=cableway,other:transport=cableway
osm:railway=rail,other:transport=spur
osm:railway=rail,other:transport=siding
osm:railway=rail,other:transport=rail_yard
osm:railway=rail,other:transport=crossover
osm:railway=rail,other:transport=branch
osm:railway=rail,other:transport=connector
osm:railway=rail,other:transport=wye
osm:railway=rail,other:transport=runaway
osm:railway=rail,other:transport=interchange
osm:railway=rail,other:transport=switch
osm:railway=rail,other:transport=industrial
osm:railway=rail,other:transport=disused
osm:railway=rail,other:transport=driveway
osm:railway=rail,other:transport=passing_loop
osm:railway=subway,other:transport=subway
osm:railway=narrow_gauge,other:transport=narrow_gauge
osm:railway=monorail,other:transport=monorail
osm:railway=funicular,other:transport=funicular
osm:landuse=grass,other:nature=grassland
osm:landuse=meadow,other:nature=meadow
osm:natural=scrub,other:nature=scrubland
osm:natural=wetland,other:nature=wetland
osm:natural=rock,other:nature=rock
osm:natural=stone,other:nature=stone
osm:natural=land,other:nature=land
osm:man_made=breakwater,other:nature=breakwater
osm:man_made=groyne,other:nature=groyne
osm:man_made=cutline,other:nature=cutline
osm:man_made=dike,other:nature=dike
